"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"NanoH","NanoH","Nanohenry","http://qudt.org/vocab/unit/NanoH","http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-2D0",1e-09,NA,NA,0
"nanogrampermilliliter","NanoGM-PER-MilliL","Nanograms per millilitre","http://qudt.org/vocab/unit/NanoGM-PER-MilliL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-06,NA,NA,0
"nanogrampermicroliter","NanoGM-PER-MicroL","Nanograms per microlitre","http://qudt.org/vocab/unit/NanoGM-PER-MicroL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.001,NA,NA,0
"nanogramperliter","NanoGM-PER-L","Nanograms per litre","http://qudt.org/vocab/unit/NanoGM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-09,NA,NA,0
"nanogrampercubicmeter","NanoGM-PER-M3","Nanogram Per Cubic Meter","http://qudt.org/vocab/unit/NanoGM-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-12,"""0.000000000001-fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 3""",NA,0
"NanoGM-PER-MilliL","NanoGM-PER-MilliL","Nanograms per millilitre","http://qudt.org/vocab/unit/NanoGM-PER-MilliL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-06,NA,NA,0
"NanoGM-PER-MicroL","NanoGM-PER-MicroL","Nanograms per microlitre","http://qudt.org/vocab/unit/NanoGM-PER-MicroL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.001,NA,NA,0
"NanoGM-PER-M3","NanoGM-PER-M3","Nanogram Per Cubic Meter","http://qudt.org/vocab/unit/NanoGM-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-12,"""0.000000000001-fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 3""",NA,0
"NanoGM-PER-M2-PA-SEC","NanoGM-PER-M2-PA-SEC","Nanograms per square metre per Pascal per second","http://qudt.org/vocab/unit/NanoGM-PER-M2-PA-SEC","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T1D0",1e-12,NA,NA,0
"NanoGM-PER-L","NanoGM-PER-L","Nanograms per litre","http://qudt.org/vocab/unit/NanoGM-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",1e-09,NA,NA,0
"NanoGM-PER-KiloGM","NanoGM-PER-KiloGM","Nanogram Per Kilogram","http://qudt.org/vocab/unit/NanoGM-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-12,NA,NA,0
"NanoGM-PER-DAY","NanoGM-PER-DAY","Nanograms per day","http://qudt.org/vocab/unit/NanoGM-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",1e-17,NA,NA,0
"NanoGM","NanoGM","Nanograms","http://qudt.org/vocab/unit/NanoGM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",1e-12,NA,NA,0
"NanoFARAD-PER-M","NanoFARAD-PER-M","Nanofarad Per Meter","http://qudt.org/vocab/unit/NanoFARAD-PER-M","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T4D0",1e-09,NA,NA,0
"NanoFARAD","NanoFARAD","Nanofarad","http://qudt.org/vocab/unit/NanoFARAD","http://qudt.org/vocab/dimensionvector/A0E2L-2I0M-1H0T4D0",1e-09,NA,"A common metric unit of electric capacitance equal to \(10^{-9} farad\). This unit was previously called the \(millimicrofarad\).",0
"NanoC","NanoC","NanoCoulomb","http://qudt.org/vocab/unit/NanoC","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T1D0",1e-09,NA,"A NanoCoulomb is \(10^{-9} C\).",0
"NanoBQ-PER-L","NanoBQ-PER-L","Nanobecquerels per litre","http://qudt.org/vocab/unit/NanoBQ-PER-L","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T-1D0",1e-06,NA,NA,0
"NanoBQ","NanoBQ","NanoBecquerel","http://qudt.org/vocab/unit/NanoBQ","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1e-09,NA,NA,0
"NanoA","NanoA","nanoampere","http://qudt.org/vocab/unit/NanoA","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",1e-09,NA,NA,0
"N/m","N-PER-M","Newton per Meter","http://qudt.org/vocab/unit/N-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,"Newton Per Meter (N/m) is a unit in the category of Surface tension. It is also known as newtons per meter, newton per metre, newtons per metre, newton/meter, newton/metre. This unit is commonly used in the SI unit system. Newton Per Meter (N/m) has a dimension of MT-2 where M is mass, and T is time. This unit is the standard SI unit in this category.",NA,0
"N.s.m-3","N-SEC-PER-M3","Newton second per Cubic Meter","http://qudt.org/vocab/unit/N-SEC-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0",1,NA,"The SI unit of specific acoustic impedance. When sound waves pass through any physical substance the pressure of the waves causes the particles of the substance to move. The sound specific impedance is the ratio between the sound pressure and the particle velocity it produces. The specific impedance is \(1 N \cdot s \cdot m^{-3} \) if unit pressure produces unit velocity.",0
"N.s.m-1","N-SEC-PER-M","Newton Second per Meter","http://qudt.org/vocab/unit/N-SEC-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",1,NA,NA,0
"N.s","N-SEC","Newton Second","http://qudt.org/vocab/unit/N-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-1D0",1,NA,NA,0
"N.mm-2","N-PER-MilliM2","Newton Per Square Millimeter","http://qudt.org/vocab/unit/N-PER-MilliM2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1e+06,NA,NA,0
"N.mm-1","N-PER-MilliM","Newton Per Millimeter","http://qudt.org/vocab/unit/N-PER-MilliM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1000,NA,NA,0
"N.m2/A","N-M2-PER-A","Newton Meter Squared per Ampere","http://qudt.org/vocab/unit/N-M2-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-2D0",1,NA,NA,0
"N.m2.kg-2","N-M2-PER-KiloGM2","Newton Square Meter Per Square Kilogram","http://qudt.org/vocab/unit/N-M2-PER-KiloGM2","http://qudt.org/vocab/dimensionvector/A0E0L3I0M-1H0T-2D0",1,NA,NA,0
"N.m2.A-1","N-M2-PER-A","Newton Meter Squared per Ampere","http://qudt.org/vocab/unit/N-M2-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-2D0",1,NA,NA,0
"N.m.s","N-M-SEC","Newton Meter Second","http://qudt.org/vocab/unit/N-M-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-1D0",1,"The SI derived unit of angular momentum.",NA,0
"N.m.m-2","N-M-PER-M2","Newton Meter Per Square Meter","http://qudt.org/vocab/unit/N-M-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,NA,NA,0
"N.m.kg-1","N-M-PER-KiloGM","Newton Meter Per Kilogram","http://qudt.org/vocab/unit/N-M-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",1,NA,NA,0
"N.m.A-1","N-M-PER-A","Newton Meter Per Ampere","http://qudt.org/vocab/unit/N-M-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",1,NA,NA,0
"N.m-3","N-PER-M3","Newtons per cubic metre","http://qudt.org/vocab/unit/N-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-2D0",1,NA,NA,0
"N.m-2","N-PER-M2","Newtons Per Square Meter","http://qudt.org/vocab/unit/N-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1,"The SI unit of pressure. The pascal is the standard pressure unit in the MKS metric system, equal to one newton per square meter or one ""kilogram per meter per second per second."" The unit is named for Blaise Pascal (1623-1662), French philosopher and mathematician, who was the first person to use a barometer to measure differences in altitude.",NA,0
"N.m-1","N-PER-M","Newton per Meter","http://qudt.org/vocab/unit/N-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,"Newton Per Meter (N/m) is a unit in the category of Surface tension. It is also known as newtons per meter, newton per metre, newtons per metre, newton/meter, newton/metre. This unit is commonly used in the SI unit system. Newton Per Meter (N/m) has a dimension of MT-2 where M is mass, and T is time. This unit is the standard SI unit in this category.",NA,0
"N.m","N-M","Newton Meter","http://qudt.org/vocab/unit/N-M","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1,"""Torque"" is the tendency of a force to cause a rotation, is the product of the force and the distance from the center of rotation to the point where the force is applied. Torque has the same units as work or energy, but it is a different physical concept. To stress the difference, scientists measure torque in newton meters rather than in joules, the SI unit of work. One newton meter is approximately 0.737562 pound foot.",NA,0
"N.kg-1","N-PER-KiloGM","Newton per Kilogram","http://qudt.org/vocab/unit/N-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",1,"Gravitational field strength at a point is the gravitational force per unit mass at that point. It is a vector and its S.I. unit is N kg-1.",NA,0
"N.cm-2","N-PER-CentiM2","Newton Per Square Centimeter","http://qudt.org/vocab/unit/N-PER-CentiM2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",10000,NA,NA,0
"N.cm-1","N-PER-CentiM","Newton Per Centimeter","http://qudt.org/vocab/unit/N-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",100,NA,NA,0
"N.cm","N-CentiM","Newton Centimeter","http://qudt.org/vocab/unit/N-CentiM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",0.01,NA,NA,0
"N.C-1","N-PER-C","Newton per Coulomb","http://qudt.org/vocab/unit/N-PER-C","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1,"Newton Per Coulomb ( N/C) is a unit in the category of Electric field strength. It is also known as newtons/coulomb. Newton Per Coulomb ( N/C) has a dimension of MLT-3I-1 where M is mass, L is length, T is time, and I is electric current. It essentially the same as the corresponding standard SI unit V/m.",NA,0
"N.A-1","N-PER-A","Newton Per Ampere","http://qudt.org/vocab/unit/N-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1,NA,NA,0
"N-SEC-PER-RAD","N-SEC-PER-RAD","Newton seconds per radian","http://qudt.org/vocab/unit/N-SEC-PER-RAD","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-1D0",1,NA,NA,0
"N-SEC-PER-M3","N-SEC-PER-M3","Newton second per Cubic Meter","http://qudt.org/vocab/unit/N-SEC-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0",1,NA,"The SI unit of specific acoustic impedance. When sound waves pass through any physical substance the pressure of the waves causes the particles of the substance to move. The sound specific impedance is the ratio between the sound pressure and the particle velocity it produces. The specific impedance is \(1 N \cdot s \cdot m^{-3} \) if unit pressure produces unit velocity.",0
"N-SEC-PER-M","N-SEC-PER-M","Newton Second per Meter","http://qudt.org/vocab/unit/N-SEC-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-1D0",1,NA,NA,0
"N-SEC","N-SEC","Newton Second","http://qudt.org/vocab/unit/N-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-1D0",1,NA,NA,0
"N-PER-RAD","N-PER-RAD","Newton per radian","http://qudt.org/vocab/unit/N-PER-RAD","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",1,NA,NA,0
"N-PER-MilliM2","N-PER-MilliM2","Newton Per Square Millimeter","http://qudt.org/vocab/unit/N-PER-MilliM2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1e+06,NA,NA,0
"N-PER-MilliM","N-PER-MilliM","Newton Per Millimeter","http://qudt.org/vocab/unit/N-PER-MilliM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1000,NA,NA,0
"N-PER-M3","N-PER-M3","Newtons per cubic metre","http://qudt.org/vocab/unit/N-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-2D0",1,NA,NA,0
"N-PER-M2","N-PER-M2","Newtons Per Square Meter","http://qudt.org/vocab/unit/N-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1,"The SI unit of pressure. The pascal is the standard pressure unit in the MKS metric system, equal to one newton per square meter or one ""kilogram per meter per second per second."" The unit is named for Blaise Pascal (1623-1662), French philosopher and mathematician, who was the first person to use a barometer to measure differences in altitude.",NA,0
"N-PER-M","N-PER-M","Newton per Meter","http://qudt.org/vocab/unit/N-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,"Newton Per Meter (N/m) is a unit in the category of Surface tension. It is also known as newtons per meter, newton per metre, newtons per metre, newton/meter, newton/metre. This unit is commonly used in the SI unit system. Newton Per Meter (N/m) has a dimension of MT-2 where M is mass, and T is time. This unit is the standard SI unit in this category.",NA,0
"N-PER-KiloGM","N-PER-KiloGM","Newton per Kilogram","http://qudt.org/vocab/unit/N-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",1,"Gravitational field strength at a point is the gravitational force per unit mass at that point. It is a vector and its S.I. unit is N kg-1.",NA,0
"N-PER-CentiM2","N-PER-CentiM2","Newton Per Square Centimeter","http://qudt.org/vocab/unit/N-PER-CentiM2","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",10000,NA,NA,0
"N-PER-CentiM","N-PER-CentiM","Newton Per Centimeter","http://qudt.org/vocab/unit/N-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",100,NA,NA,0
"N-PER-C","N-PER-C","Newton per Coulomb","http://qudt.org/vocab/unit/N-PER-C","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1,"Newton Per Coulomb ( N/C) is a unit in the category of Electric field strength. It is also known as newtons/coulomb. Newton Per Coulomb ( N/C) has a dimension of MLT-3I-1 where M is mass, L is length, T is time, and I is electric current. It essentially the same as the corresponding standard SI unit V/m.",NA,0
"N-PER-A","N-PER-A","Newton Per Ampere","http://qudt.org/vocab/unit/N-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1,NA,NA,0
"N-M2-PER-KiloGM2","N-M2-PER-KiloGM2","Newton Square Meter Per Square Kilogram","http://qudt.org/vocab/unit/N-M2-PER-KiloGM2","http://qudt.org/vocab/dimensionvector/A0E0L3I0M-1H0T-2D0",1,NA,NA,0
"N-M2-PER-A","N-M2-PER-A","Newton Meter Squared per Ampere","http://qudt.org/vocab/unit/N-M2-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-2D0",1,NA,NA,0
"N-M2","N-M2","Newton Square Meter","http://qudt.org/vocab/unit/N-M2","http://qudt.org/vocab/dimensionvector/A0E0L3I0M1H0T-2D0",1,NA,NA,0
"N-M-SEC-PER-RAD","N-M-SEC-PER-RAD","Newton meter seconds per radian","http://qudt.org/vocab/unit/N-M-SEC-PER-RAD","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-1D0",1,NA,NA,0
"N-M-SEC-PER-M","N-M-SEC-PER-M","Newton meter seconds per meter","http://qudt.org/vocab/unit/N-M-SEC-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-1D0",1,NA,NA,0
"N-M-SEC","N-M-SEC","Newton Meter Second","http://qudt.org/vocab/unit/N-M-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-1D0",1,"The SI derived unit of angular momentum.",NA,0
"N-M-PER-RAD","N-M-PER-RAD","Newton meter per radian","http://qudt.org/vocab/unit/N-M-PER-RAD","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1,NA,NA,0
"N-M-PER-M2","N-M-PER-M2","Newton Meter Per Square Meter","http://qudt.org/vocab/unit/N-M-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,NA,NA,0
"N-M-PER-M-RAD","N-M-PER-M-RAD","Newton Metre per Metre per Radians","http://qudt.org/vocab/unit/N-M-PER-M-RAD","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",1,NA,NA,0
"N-M-PER-M","N-M-PER-M","Newton meter per meter","http://qudt.org/vocab/unit/N-M-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",1,NA,NA,0
"N-M-PER-KiloGM","N-M-PER-KiloGM","Newton Meter Per Kilogram","http://qudt.org/vocab/unit/N-M-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",1,NA,NA,0
"N-M-PER-A","N-M-PER-A","Newton Meter Per Ampere","http://qudt.org/vocab/unit/N-M-PER-A","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",1,NA,NA,0
"N-M","N-M","Newton Meter","http://qudt.org/vocab/unit/N-M","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1,"""Torque"" is the tendency of a force to cause a rotation, is the product of the force and the distance from the center of rotation to the point where the force is applied. Torque has the same units as work or energy, but it is a different physical concept. To stress the difference, scientists measure torque in newton meters rather than in joules, the SI unit of work. One newton meter is approximately 0.737562 pound foot.",NA,0
"N-CentiM","N-CentiM","Newton Centimeter","http://qudt.org/vocab/unit/N-CentiM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",0.01,NA,NA,0
"N","N","Newton","http://qudt.org/vocab/unit/N","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-2D0",1,NA,"The ""Newton"" is the SI unit of force. A force of one newton will accelerate a mass of one kilogram at the rate of one meter per second per second. The newton is named for Isaac Newton (1642-1727), the British mathematician, physicist, and natural philosopher. He was the first person to understand clearly the relationship between force (F), mass (m), and acceleration (a) expressed by the formula \(F = m \cdot a\).",0
"MX","MX","Maxwell","http://qudt.org/vocab/unit/MX","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",1e-08,NA,"""Maxwell"" is a C.G.S System unit for  'Magnetic Flux' expressed as \(Mx\).",0
"mWb","MilliWB","Milliweber","http://qudt.org/vocab/unit/MilliWB","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",0.001,NA,NA,0
"mW.m-2.nm-1.sr-1","MilliW-PER-M2-NanoM-SR","Milliwatts per square metre per nanometre per steradian","http://qudt.org/vocab/unit/MilliW-PER-M2-NanoM-SR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+06,NA,NA,0
"mW.m-2.nm-1","MilliW-PER-M2-NanoM","Milliwatts per square metre per nanometre","http://qudt.org/vocab/unit/MilliW-PER-M2-NanoM","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+06,NA,NA,0
"mW.m-2","MilliW-PER-M2","Milliwatt Per Square Meter","http://qudt.org/vocab/unit/MilliW-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",0.001,NA,NA,0
"MW.h","MegaW-HR","Megawatt Hour","http://qudt.org/vocab/unit/MegaW-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3.6e+09,NA,NA,0
"mW.cm-2.um-1.sr-1","MilliW-PER-CentiM2-MicroM-SR","Milliwatts per square centimetre per micrometre per steradian","http://qudt.org/vocab/unit/MilliW-PER-CentiM2-MicroM-SR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+07,NA,NA,0
"mV.min-1","MilliV-PER-MIN","Millivolt Per Minute","http://qudt.org/vocab/unit/MilliV-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0",1.666667e-05,NA,NA,0
"MV.m-1","MegaV-PER-M","Megavolt Per Meter","http://qudt.org/vocab/unit/MegaV-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1e+06,NA,NA,0
"mV.m-1","MilliV-PER-M","Millivolt Per Meter","http://qudt.org/vocab/unit/MilliV-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",0.001,NA,NA,0
"MV.A{reactive}.h","MegaV-A_Reactive-HR","Megavolt Ampere Reactive Hour","http://qudt.org/vocab/unit/MegaV-A_Reactive-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3.6e+09,NA,NA,0
"MV.A{reactive}","MegaV-A_Reactive","Megavolt Ampere Reactive","http://qudt.org/vocab/unit/MegaV-A_Reactive","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1e+06,NA,NA,0
"MV.A.h","MegaV-A-HR","Megavolt Ampere Hour","http://qudt.org/vocab/unit/MegaV-A-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3.6e+09,NA,NA,0
"MV.A","MegaV-A","Megavolt Ampere","http://qudt.org/vocab/unit/MegaV-A","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1e+06,NA,NA,0
"mSv","MilliSV","Millisievert","http://qudt.org/vocab/unit/MilliSV","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",0.001,NA,NA,0
"mS/cm","MilliS-PER-CentiM","Millisiemens Per Centimeter","http://qudt.org/vocab/unit/MilliS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",0.1,NA,NA,0
"MS.m-1","MegaS-PER-M","Megasiemens Per Meter","http://qudt.org/vocab/unit/MegaS-PER-M","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e+06,NA,NA,0
"mS.m-1","MilliS-PER-M","MilliSiemens per metre","http://qudt.org/vocab/unit/MilliS-PER-M","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",0.001,NA,NA,0
"mS.cm-1","MilliS-PER-CentiM","Millisiemens Per Centimeter","http://qudt.org/vocab/unit/MilliS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",0.1,NA,NA,0
"ms-1","PER-MilliSEC","Reciprocal millisecond","http://qudt.org/vocab/unit/PER-MilliSEC","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1000,NA,NA,0
"mREM","MilliR_man","Milliroentgen Equivalent Man","http://qudt.org/vocab/unit/MilliR_man","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",2.58e-07,NA,NA,0
"mRAD.h-1","MilliRAD_R-PER-HR","Millirads per hour","http://qudt.org/vocab/unit/MilliRAD_R-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",2.7777777777e-07,NA,NA,0
"mrad","MilliRAD","milliradian","http://qudt.org/vocab/unit/MilliRAD","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0.001,NA,NA,0
"mpersecond","M-PER-SEC","Meter per Second","http://qudt.org/vocab/unit/M-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,"Metre per second is an SI derived unit of both speed (scalar) and velocity (vector quantity which specifies both magnitude and a specific direction), defined by distance in metres divided by time in seconds.
The official SI symbolic abbreviation is mu00b7s-1, or equivalently either m/s.",NA,0
"mPa.s.bar-1","MilliPA-SEC-PER-BAR","Millipascal Second Per Bar","http://qudt.org/vocab/unit/MilliPA-SEC-PER-BAR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",1e-08,NA,NA,0
"mPa.s","MilliPA-SEC","Millipascal Second","http://qudt.org/vocab/unit/MilliPA-SEC","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0",0.001,NA,NA,0
"MPa.m3.s-1","MegaPA-M3-PER-SEC","Megapascal Cubic Meter Per Second","http://qudt.org/vocab/unit/MegaPA-M3-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1e+06,NA,NA,0
"MPa.L.s-1","MegaPA-L-PER-SEC","Megapascal Liter Per Second","http://qudt.org/vocab/unit/MegaPA-L-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1000,NA,NA,0
"MPa.K-1","MegaPA-PER-K","Megapascal Per Kelvin","http://qudt.org/vocab/unit/MegaPA-PER-K","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H-1T-2D0",1e+06,NA,NA,0
"MPa.bar-1","MegaPA-PER-BAR","Megapascal Per Bar","http://qudt.org/vocab/unit/MegaPA-PER-BAR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",10,NA,NA,0
"MPa","MegaPA","Megapascal","http://qudt.org/vocab/unit/MegaPA","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1e+06,NA,NA,0
"mPa","MilliPA","Millipascal","http://qudt.org/vocab/unit/MilliPA","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",0.001,NA,NA,0
